EDO,NOMBRE_ESTADO,MUN,NOMBRE_MUNICIPIO,Coef_Var_PE,Coef_Var_LNE,Var_Prop_PE,Var_Prop_LNE,Autocorr_PE,Autocorr_LNE,Razon_LNE_PE,PE,LNE,TC_LNE_2019,NUM_SECC_RUR,Area_Km2,Densidad_LNE
1,AGUASCALIENTES,10,SAN FRANCISCO DE LOS ROMO,0.017130901050756143,0.0150845428418134,0.020040583176703014,0.017733047222859545,0.9657753377937748,0.7559389344840048,0.9892716837413311,35518.0,34917.0,0.037498142920814145,3,9.791575896,3566.0245471072844
1,AGUASCALIENTES,8,SAN JOSE DE GRACIA,0.00503990339287453,0.008344741284002366,0.005584361715393685,0.008887311775021608,0.4356764893724064,0.23706138459991458,0.991803408929023,7004.0,6914.0,0.00028935185185185184,4,148.866104423,46.44442082231164
1,AGUASCALIENTES,9,TEPEZALA,0.006879475152733848,0.011777095770194292,0.007903002148146605,0.011920564133364566,0.6057371704067873,0.3445667085761423,0.9906353256276795,15733.0,15545.0,0.0051079787921893185,6,6.271494816,2478.6754124935565
1,AGUASCALIENTES,11,EL LLANO,0.008917191328272216,0.012239282940131511,0.009982891122323444,0.014231600764823323,0.5856206416118602,0.5040196044462911,0.9910163386198628,15298.0,15067.0,-0.0033734620981611322,6,10.006312126000001,1505.7495519103898
1,AGUASCALIENTES,2,ASIENTOS,0.008082803152847878,0.013432340094443608,0.009251696591453086,0.01539656625007232,0.5811933204758281,0.3747379431890598,0.989079872113203,34722.0,34222.0,0.0018736459980092512,11,23.049424270999996,1484.722550881974
1,AGUASCALIENTES,3,CALVILLO,0.009901971627581376,0.013265537498513787,0.011726076095912693,0.015719269115307,0.55505843516155,0.4840590687888893,0.9911496521656051,46896.0,46424.0,-0.006144163045107148,14,125.40941444799999,370.17954516683704
1,AGUASCALIENTES,4,COSIO,0.006601179423308842,0.011839799128126929,0.0076242765558195815,0.013460547546758982,0.5966790701251128,0.39064639751838354,0.989895850669894,11789.0,11623.0,-0.0024888431170614488,2,4.311295402000001,2695.9414552313247
1,AGUASCALIENTES,5,JESUS MARIA,0.009471149805524418,0.010581266983160259,0.011287834047519922,0.01135704992385827,0.7895896059262502,0.4227145205528665,0.9911337159774043,83556.0,82404.0,0.013080895008605853,6,27.645668905999997,2980.720064332236
1,AGUASCALIENTES,6,PABELLON DE ARTEAGA,0.007332232880418006,0.008622428397604213,0.008365022424687585,0.009360989005979634,0.5817605998819845,0.42138227329530253,0.9928562557461952,31658.0,31272.0,0.002339818583928972,5,6.040941318000001,5176.676672362272
1,AGUASCALIENTES,7,RINCON DE ROMOS,0.007040446666377206,0.0107081049122981,0.008010478858221171,0.01216676373822124,0.5663239806844786,0.35549146383704544,0.9920791319702101,38010.0,37605.0,0.001918311885540724,6,10.755967156999999,3496.1988495406117
1,AGUASCALIENTES,1,AGUASCALIENTES,0.008282850740349276,0.011366875676483782,0.009498466575990069,0.01241970558366465,0.6011302314915318,0.4194348622072133,0.9907184444392284,658689.0,648368.0,0.00047063325633464647,9,113.41659684500009,5716.694187942238
2,BAJA CALIFORNIA,2,MEXICALI,0.008245622131686675,0.013681319681545642,0.009353140254785921,0.01515189110426138,0.584085872021734,0.3733216891807398,0.989305738683475,800806.0,789602.0,0.0035242727454122815,41,359.55514209100005,2196.052587116552
2,BAJA CALIFORNIA,4,TIJUANA,0.008664953078899341,0.01409836620128881,0.010505616514216295,0.013748992510608035,0.773938463611345,0.36683370493628326,0.9889809900644216,1458478.0,1435734.0,0.005466662184647965,26,217.7824267549998,6592.51538975258
2,BAJA CALIFORNIA,3,TECATE,0.01087379881442519,0.01767090638031471,0.012550640559760618,0.020106376169751073,0.6268039810472477,0.45779880738154843,0.9882333661288336,86553.0,85233.0,-0.012604117190486671,3,50.120944976000004,1700.5465487694437
2,BAJA CALIFORNIA,1,ENSENADA,0.008388332522431308,0.013202716447074204,0.00971469639535674,0.013986895231114222,0.6216674703637962,0.3606688164903901,0.9885625739612709,406416.0,399621.0,0.0003279180955718541,37,25878.080982959997,15.442451094543657
2,BAJA CALIFORNIA,5,PLAYAS DE ROSARITO,0.010467164071692034,0.01611011517544305,0.012611820367892681,0.015825238661997455,0.7934685863267258,0.37945900599229265,0.9873434077973393,99154.0,97429.0,0.008070440459808172,2,32.969442948,2955.1303051636864
3,BAJA CALIFORNIA SUR,1,COMONDU,0.017143289575407734,0.02050260846851437,0.02058406912624689,0.02426130145944955,0.9970402848033989,0.9956254036191616,0.9867651992479329,54549.0,53927.0,0.06710068070286529,24,3582.170476709,15.054280735835787
3,BAJA CALIFORNIA SUR,3,LA PAZ,0.018039884084911837,0.018853517524496453,0.022040030131708212,0.02274664077228311,0.9996203676853165,0.9961425721344275,0.9897259074676353,209313.0,206629.0,0.059244791666666664,28,5880.873121754001,35.13576908089659
3,BAJA CALIFORNIA SUR,5,LORETO,0.018310871907516936,0.018179685509136175,0.021537730176842865,0.021144518668083073,0.975092242140871,0.9758070696415588,0.9859787741263006,12063.0,11866.0,0.049716914366595893,4,2289.027199092,5.183861513182083
