EDO,NOMBRE_ESTADO,MUN,NOMBRE_MUNICIPIO,CP1,CP2,CP3,CP4,CP5,CP6,CP7
1,AGUASCALIENTES,10,SAN FRANCISCO DE LOS ROMO,-0.9953308725890465,0.745533126895689,-1.3896329042993085,0.434649465697936,0.10563867384863339,-0.2595024494493082,-0.19624028704968088
1,AGUASCALIENTES,8,SAN JOSE DE GRACIA,-3.3189025992577057,-0.6199868956836041,0.7238976970947467,0.19399490938176422,-0.9693110048609878,-0.6518173042944477,-1.034856882912114
1,AGUASCALIENTES,9,TEPEZALA,-2.7574677150767686,0.08145643694226098,-0.9081526150208542,1.1157216190465187,-0.5581793690151884,-0.004695928158667245,-0.7059794108727734
1,AGUASCALIENTES,11,EL LLANO,-2.5237453796224036,0.2608101913494259,-0.7385361475701879,0.676100810063594,-0.3838892802002424,-0.04841228170206699,-0.12621695077402778
1,AGUASCALIENTES,2,ASIENTOS,-2.4902472086144325,0.4537462361466476,-0.45069244482538084,1.5078638833443312,-0.49628407697945465,-0.20770017443952088,-0.4974062371243727
1,AGUASCALIENTES,3,CALVILLO,-2.4420646645481887,0.9093253416772358,0.17543209692810546,1.0181083634035868,-0.6278040045100496,-0.42077015627517894,-0.09969689865238424
1,AGUASCALIENTES,4,COSIO,-2.768472203421342,-0.21083435705064196,-1.089390437984116,0.9406836402819593,-0.3820638158408916,-0.07927575142018181,-0.4219501061059311
1,AGUASCALIENTES,5,JESUS MARIA,-2.470963243593809,0.9569123525051829,-1.1072996969664621,1.2455983891377043,-0.34073217352524543,-0.6381619037685673,-0.7493788438936648
1,AGUASCALIENTES,6,PABELLON DE ARTEAGA,-2.9311565549154377,0.7303714319720459,-1.366378422110481,0.908467001698084,-0.3407181523235378,-0.14550333104386032,-0.6247108653245648
1,AGUASCALIENTES,7,RINCON DE ROMOS,-2.891218810377066,0.6125485729100453,-1.1323413781986704,1.2111067779306945,-0.5669842526883319,-0.28997889373042984,-0.6804172990734122
1,AGUASCALIENTES,1,AGUASCALIENTES,-2.515369411763144,1.8912318028932662,-1.2961788654587056,2.078733672939859,-0.2625913550636515,-1.2521388003979734,-0.48551032578396025
2,BAJA CALIFORNIA,2,MEXICALI,-2.2112681974951625,3.0739232217300048,0.6464185683647622,3.204537289280603,-0.5097281773389482,0.11643225213496837,-0.6043950308500058
2,BAJA CALIFORNIA,4,TIJUANA,-2.192507302134104,2.6982054820852057,-0.543978503456682,3.1504467553909774,-0.3854903634547942,-0.7004092834834478,-0.6149548642797197
2,BAJA CALIFORNIA,3,TECATE,-2.2148002376174265,0.40365565310053886,-0.9190296254338657,1.6219104115080152,-0.5235218450330879,-0.9931671264128245,0.2059383591074416
2,BAJA CALIFORNIA,1,ENSENADA,-2.225891193831827,2.175507887049896,2.6076330725830554,2.1340518940232442,-0.8462711124193244,-0.8945763308333224,-0.5855546772059912
2,BAJA CALIFORNIA,5,PLAYAS DE ROSARITO,-2.107258292488274,0.34638179899456906,-1.1837321271235828,1.8291914604719768,-0.4124713707174655,-0.9986491382541244,-0.4689276789094813
3,BAJA CALIFORNIA SUR,1,COMONDU,0.7157775650210941,1.4777515680364093,1.8010539259136225,-0.07793108091181768,-0.1325564074663558,-0.42403496173276345,0.0033100878036221373
3,BAJA CALIFORNIA SUR,3,LA PAZ,0.39146074329471686,2.5188789524954545,1.4963148112695035,0.22455084198610706,-0.2343005679263496,-0.5739746867389158,0.05140341526011078
3,BAJA CALIFORNIA SUR,5,LORETO,0.15515744495276138,-0.14975210093735306,1.4588539260701563,-1.1107868529833422,0.02941405038267954,-1.1073947731272582,0.2513819456124048
3,BAJA CALIFORNIA SUR,4,LOS CABOS,1.071513485988823,1.843845823814328,-0.647832114890769,0.4879833776876791,-0.3411881318151209,-0.8164363091845191,-0.042256941237898825
3,BAJA CALIFORNIA SUR,2,MULEGE,1.3551605384457677,0.5556249232497588,2.045067358089317,-0.06639362434155958,-0.056635902678679524,-0.9588649512556318,-0.010823255931129606
4,CAMPECHE,8,TENABO,0.23689752867162897,0.41515897665775925,-0.9557637040182109,-0.6455283245943912,-0.07055493791507016,0.30513135029230554,0.044244129087244684
4,CAMPECHE,9,ESCARCEGA,0.4957750871504951,1.1228345843822256,-0.5219279178189415,0.7121219538287182,0.7865225185008641,0.21490919222997046,0.006226653043038485
4,CAMPECHE,5,HECELCHAKAN,0.2073154851303258,0.93204158106398,-0.8960081884056865,-0.24421858088408385,0.12728567941216448,0.05237975312657981,0.061415777100073114
4,CAMPECHE,6,HOPELCHEN,0.18142973491379763,1.1959856688434978,1.5268359950723929,-0.18692160273535507,0.020389176638553986,-0.13750859904796464,0.1438205471901791
