EDO,NOMBRE_ESTADO,MUN,NOMBRE_MUNICIPIO,CP1,CP2,CP3,CP4,CP5,CP6,CP7,CP8
1,AGUASCALIENTES,10,SAN FRANCISCO DE LOS ROMO,-1.2140696678309726,0.5130315626295975,-1.450944858170577,0.4315185068938363,0.18264291815953912,-0.2593139974490156,-0.1872430078068097,0.010093904602427104
1,AGUASCALIENTES,8,SAN JOSE DE GRACIA,-3.422301116326304,-1.2840146860486268,0.5770587569511223,0.6480522644075045,-0.9696107666428045,-0.6380142435562349,-1.1479833638630572,0.03778496859718113
1,AGUASCALIENTES,9,TEPEZALA,-2.8200734981420754,-0.5170938539441857,-1.0725233172004953,1.3623196881418012,-0.34075209803245404,0.004996135840341115,-0.7994877897743978,0.10734488028836907
1,AGUASCALIENTES,11,EL LLANO,-2.557358948713209,-0.2954721395287656,-0.8902537579591886,0.9757089134771509,-0.41806545082702545,-0.04481337390978783,-0.15764935648445688,-0.013624413487838268
1,AGUASCALIENTES,2,ASIENTOS,-2.449705274303526,-0.11881062534312933,-0.6434047821115112,1.8116376000820593,-0.3077461252706759,-0.20019974832607954,-0.5636933828997995,-0.009320251958712453
1,AGUASCALIENTES,3,CALVILLO,-2.4958308773558695,0.3420881862995253,-0.019881377813453973,1.4615896331920484,-0.6655056498652988,-0.41511676899963296,-0.15985370298938179,-0.03462867513973106
1,AGUASCALIENTES,4,COSIO,-2.7061823877284827,-0.8110793053707868,-1.2453347006706004,1.1857491346482596,-0.2902676253197156,-0.0736310313343401,-0.46563971900329953,-0.0008270919939162889
1,AGUASCALIENTES,5,JESUS MARIA,-2.7574803975354873,0.40190066745483005,-1.2743745699247087,1.4373975839803381,-0.09677423570507797,-0.6302589826804103,-0.8168348477951648,0.08009275185281982
1,AGUASCALIENTES,6,PABELLON DE ARTEAGA,-3.2238928644683016,0.09057602952499542,-1.5338676891956178,1.141895836153559,-0.21377614271548684,-0.13896418677089348,-0.6721739845315768,0.05248098017066685
1,AGUASCALIENTES,7,RINCON DE ROMOS,-2.9862850021494878,-0.03855671502406494,-1.3253663371847282,1.5179861516988584,-0.40548767783025164,-0.2810228162406431,-0.7542695158876095,0.01110589909777956
1,AGUASCALIENTES,1,AGUASCALIENTES,-2.82379258474285,1.2760473450558476,-1.5279958856333262,2.3130316596010325,0.052044239012964746,-1.2459132595723854,-0.5540703271425376,0.08066216563288872
2,BAJA CALIFORNIA,2,MEXICALI,-2.577313418959377,2.473123834623904,0.33175544696285725,3.6158620099259173,-0.03333328385593962,0.1259176428875643,-0.7003697758062661,0.034834488390016016
2,BAJA CALIFORNIA,4,TIJUANA,-2.5609831338927527,2.1142969100703266,-0.8283794397874272,3.4033107020666753,0.1941698590407237,-0.6907446702660694,-0.7388682606511422,0.19476374889317447
2,BAJA CALIFORNIA,3,TECATE,-1.912003855538883,-0.14348819786895814,-1.1240097379293954,1.9626053258012617,-0.44166884009703505,-0.9890445519114222,0.13089217747859352,0.012296385794394673
2,BAJA CALIFORNIA,1,ENSENADA,-2.610617470825048,1.6352576183300591,2.3458200816352464,2.69524005807676,-0.6016074311120396,-0.8827773661895767,-0.7176818496490669,0.08471393048413324
2,BAJA CALIFORNIA,5,PLAYAS DE ROSARITO,-2.0593661586252026,-0.146951922941181,-1.3563258265121876,1.9732339021890346,-0.02979661324352206,-0.9900971185955677,-0.5868375027028601,0.20282021192991628
3,BAJA CALIFORNIA SUR,1,COMONDU,0.3419818018152576,1.6115876503288755,1.7928980736184599,0.04762337020280456,-0.19441508688559112,-0.4230867389356622,-0.009538974956759705,-0.0021093629782232733
3,BAJA CALIFORNIA SUR,3,LA PAZ,-0.14054819092233028,2.5468851777304646,1.432672186357333,0.44657936616641347,-0.30894971428409174,-0.5725139146173177,0.030864746471489717,-0.016123093087442555
